service_id,date,exception_type
"454_64872","20170915","1"
"454_64872","20170916","1"
"454_64872","20170918","1"
"454_64872","20170919","1"
"454_64872","20170920","1"
"454_64872","20170921","1"
"454_64872","20170922","1"
"454_64872","20170923","1"
"454_64872","20170925","1"
"454_64872","20170926","1"
"454_64872","20170927","1"
"454_64872","20170928","1"
"454_64872","20170929","1"
"454_64872","20170930","1"
"454_64872","20171002","1"
"454_64872","20171003","1"
"454_64872","20171004","1"
"454_64872","20171005","1"
"454_64872","20171006","1"
"454_64872","20171007","1"
"454_64872","20171009","1"
"454_64872","20171010","1"
"454_64872","20171011","1"
"454_64872","20171012","1"
"454_64872","20171013","1"
"454_64872","20171014","1"
"454_64872","20171016","1"
"454_64872","20171017","1"
"454_64872","20171018","1"
"454_64872","20171019","1"
"454_64872","20171020","1"
"454_64872","20171021","1"
"454_64872","20171023","1"
"454_64872","20171024","1"
"454_64872","20171025","1"
"454_64872","20171026","1"
"454_64872","20171027","1"
"454_64872","20171028","1"
"454_64872","20171030","1"
"454_64872","20171031","1"
"454_64872","20171103","1"
"454_64872","20171104","1"
"454_64872","20171106","1"
"454_64872","20171107","1"
"454_64872","20171108","1"
"454_64872","20171109","1"
"454_64872","20171110","1"
"454_64872","20171111","1"
"454_64872","20171113","1"
"454_64872","20171114","1"
"454_64872","20171115","1"
"454_64872","20171116","1"
"454_64872","20171117","1"
"454_64872","20171118","1"
"454_64872","20171120","1"
"454_64872","20171121","1"
"454_64872","20171122","1"
"454_64872","20171123","1"
"454_64872","20171124","1"
"454_64872","20171125","1"
"454_64872","20171127","1"
"454_64872","20171128","1"
"454_64872","20171129","1"
"454_64872","20171130","1"
"454_64872","20171201","1"
"454_64872","20171202","1"
"454_64872","20171204","1"
"454_64872","20171205","1"
"454_64872","20171206","1"
"454_64872","20171207","1"
"454_64872","20171209","1"
"454_64872","20171211","1"
"454_64872","20171212","1"
"454_64872","20171213","1"
"454_64872","20171214","1"
"454_64872","20171215","1"
"454_64872","20171216","1"
"454_64872","20171218","1"
"454_64872","20171219","1"
"454_64872","20171220","1"
"454_64872","20171221","1"
"454_64872","20171222","1"
"454_64872","20171223","1"
"454_64872","20180108","1"
"454_64872","20180109","1"
"454_64872","20180110","1"
"454_64872","20180111","1"
"454_64872","20180112","1"
"454_64872","20180113","1"
"454_64872","20180115","1"
"454_64872","20180116","1"
"454_64872","20180117","1"
"454_64872","20180118","1"
"454_64872","20180119","1"
"454_64872","20180120","1"
"454_64872","20180122","1"
"454_64872","20180123","1"
"454_64872","20180124","1"
"454_64872","20180125","1"
"454_64872","20180126","1"
"454_64872","20180127","1"
"454_64872","20180129","1"
"454_64872","20180130","1"
"454_64872","20180131","1"
"454_64872","20180201","1"
"454_64872","20180202","1"
"454_64872","20180203","1"
"454_64872","20180205","1"
"454_64872","20180206","1"
"454_64872","20180207","1"
"454_64872","20180208","1"
"454_64872","20180209","1"
"454_64872","20180210","1"
"454_64872","20180212","1"
"454_64872","20180213","1"
