route_id,service_id,trip_id,direction_id,shape_id
"1-2CO","454_65307","454_693902","1","4109375486"
"1-2CO","454_65307","454_693903","1","4109375486"
"1-2CO","454_65307","454_693904","1","4109375486"
"1-2CO","454_65307","454_693905","1","4109375486"
"1-2CO","454_65307","454_693906","1","4109375486"
"1-2CO","454_65307","454_693907","0","3362124481"
"1-2CO","454_65307","454_693908","0","3362124481"
"1-2CO","454_65307","454_693909","0","3362124481"
"1-2CO","454_65307","454_693910","0","3362124481"
"1-2CO","454_65307","454_693911","0","3362124481"
"1-2CO","454_65308","454_693967","1","415368180"
"1-2CO","454_65308","454_693968","1","3778752581"
"1-2CO","454_65308","454_693969","1","3778752581"
"1-2CO","454_65308","454_693970","1","3778752581"
"1-2CO","454_65308","454_693971","0","3575421071"
"1-2CO","454_65308","454_693972","0","3575421071"
"1-2CO","454_65308","454_693973","0","3575421071"
"1-2CO","454_65309","454_693974","1","2818462072"
"1-2CO","454_65309","454_693975","1","2818462072"
"1-2CO","454_65309","454_693976","0","332305643"
"1-2CO","454_65309","454_693977","0","332305643"
"1-2CO","454_65309","454_693978","1","2818462072"
"1-2CO","454_65309","454_693979","1","2818462072"
"1-2CO","454_65309","454_693980","0","332305643"
"1-2CO","454_65309","454_693981","0","332305643"
"1-2CO","454_65310","454_693982","1","3778752581"
"1-2CO","454_65310","454_693983","1","3778752581"
"1-2CO","454_65310","454_693984","0","3575421071"
"1-2CO","454_65310","454_693985","0","3575421071"
"1-2CO","454_65310","454_693986","1","3778752581"
"1-2CO","454_65310","454_693987","1","3778752581"
"1-2CO","454_65310","454_693988","0","3575421071"
"1-2CO","454_65310","454_693989","0","3575421071"
"1-2CO","454_65311","454_693990","1","3778752581"
"1-2CO","454_65311","454_693991","0","3575421071"
"1-2CO","454_65312","454_693992","1","3778752581"
"1-2CO","454_65312","454_693993","1","3778752581"
"1-2CO","454_65312","454_693994","0","3575421071"
"1-2CO","454_65313","454_693995","1","3778752581"
"1-2CO","454_65313","454_693996","0","3575421071"
"1-2CO","454_65313","454_693997","1","3778752581"
"1-2CO","454_65314","454_693998","0","1855834533"
"1-2CO","454_65314","454_693999","1","3778752581"
"1-2CO","454_65314","454_694000","1","3778752581"
"1-2CO","454_65314","454_694001","0","3575421071"
"1-2CO","454_65522","454_698706","0","1364261722"
"1-2CO","454_65522","454_698707","1","142175889"
"1-2CO","454_65522","454_698708","1","1476726615"
"1-2CO","454_65522","454_698709","0","639046537"
"1-2CO","454_65522","454_698710","0","639046537"
"1CO","454_65315","454_694002","0","1623108664"
"1CO","454_65315","454_694003","1","695737682"
"1CO","454_65315","454_694004","0","1324442069"
"1CO","454_65315","454_694005","1","3992614064"
"1CO","454_65315","454_694006","1","3992614064"
"1CO","454_65316","454_694007","0","1623108664"
"1CO","454_65316","454_694008","1","695737682"
"1CO","454_65316","454_694009","1","695737682"
"1CO","454_65316","454_694010","0","1324442069"
"1CO","454_65316","454_694011","1","3992614064"
"1CO","454_65318","454_694012","1","3992614064"
"1CO","454_65318","454_694013","1","3992614064"
"1CO","454_65318","454_694014","1","3992614064"
"1CO","454_65318","454_694015","1","3992614064"
"1CO","454_65318","454_694016","1","3992614064"
"1CO","454_65318","454_694017","1","3992614064"
"1CO","454_65318","454_694018","1","3992614064"
"1CO","454_65318","454_694019","1","3992614064"
"1CO","454_65318","454_694020","1","3992614064"
"1CO","454_65318","454_694021","1","3992614064"
"1CO","454_65318","454_694022","1","3992614064"
"1CO","454_65318","454_694023","1","3992614064"
"1CO","454_65318","454_694024","1","3992614064"
"1CO","454_65318","454_694025","1","3992614064"
"1CO","454_65318","454_694026","1","3992614064"
"1CO","454_65318","454_694027","1","3992614064"
"1CO","454_65318","454_694028","0","1324442069"
"1CO","454_65318","454_694029","0","1324442069"
"1CO","454_65318","454_694030","0","1324442069"
"1CO","454_65318","454_694031","0","1324442069"
"1CO","454_65318","454_694032","0","1324442069"
"1CO","454_65318","454_694033","0","1324442069"
"1CO","454_65318","454_694034","0","1324442069"
"1CO","454_65318","454_694035","0","1324442069"
"1CO","454_65318","454_694036","0","1324442069"
"1CO","454_65318","454_694037","0","1324442069"
"1CO","454_65318","454_694038","0","1324442069"
"1CO","454_65318","454_694039","0","1324442069"
"1CO","454_65318","454_694040","0","1324442069"
"1CO","454_65318","454_694041","0","1623108664"
"1CO","454_65318","454_694042","0","1324442069"
"1CO","454_65318","454_694043","0","1324442069"
"1CO","454_65318","454_694044","0","1324442069"
"1CO","454_65318","454_694045","0","1324442069"
"1CO","454_65318","454_694046","0","1324442069"
"1CO","454_65318","454_694047","0","1324442069"
"1CO","454_65318","454_694048","0","1324442069"
"1CO","454_65318","454_694049","0","1324442069"
"1CO","454_65318","454_694050","0","1324442069"
"1CO","454_65318","454_694051","0","1324442069"
"1CO","454_65318","454_694052","1","3992614064"
"1CO","454_65318","454_694053","1","3992614064"
"1CO","454_65318","454_694054","1","3992614064"
"1CO","454_65318","454_694055","1","3992614064"
"1CO","454_65318","454_694056","1","3992614064"
"1CO","454_65318","454_694057","1","3992614064"
"1CO","454_65318","454_694058","1","3992614064"
"1CO","454_65318","454_694059","0","1623108664"
"1CO","454_65318","454_694060","1","695737682"
"1CO","454_65523","454_698711","1","3992614064"
"1CO","454_65523","454_698712","1","3992614064"
"1CO","454_65523","454_698713","1","3992614064"
"1CO","454_65523","454_698714","0","1324442069"
"1CO","454_65523","454_698715","0","1324442069"
"1CO","454_65523","454_698716","0","1324442069"
"1CO","454_65523","454_698717","0","1324442069"
"1CO","454_65523","454_698718","1","3992614064"
"1CO","454_65526","454_698781","1","3992614064"
"1CO","454_65526","454_698782","1","3992614064"
"1CO","454_65526","454_698783","1","3992614064"
"1CO","454_65526","454_698784","1","3992614064"
"1CO","454_65526","454_698785","1","3992614064"
"1CO","454_65526","454_698786","1","3992614064"
"1CO","454_65526","454_698787","1","3992614064"
"1CO","454_65526","454_698788","1","3992614064"
"1CO","454_65526","454_698789","1","3992614064"
"1CO","454_65526","454_698790","1","3992614064"
"1CO","454_65526","454_698791","1","3992614064"
"1CO","454_65526","454_698792","1","3992614064"
"1CO","454_65526","454_698793","1","3992614064"
